State,Obama,Romney,Others
District of Columbia,90.91,7.28,1.81
Hawaii,70.55,27.84,1.62
Vermont,66.57,30.97,2.46
New York,63.32,35.20,1.48
Rhode Island,62.70,35.24,2.06
Maryland,61.97,35.90,2.13
Massachusetts,60.65,37.51,1.84
California,60.24,37.12,2.64
Delaware,58.61,39.98,1.41
New Jersey,58.38,40.59,1.03
Connecticut,58.06,40.73,1.22
Illinois,57.60,40.73,1.67
Maine,56.27,40.98,2.75
Washington,56.16,41.29,2.54
Oregon,54.24,42.15,3.61
Michigan,54.21,44.71,1.08
New Mexico,52.99,42.84,4.16
Wisconsin,52.83,45.89,1.29
Minnesota,52.65,44.96,2.39
Nevada,52.36,45.68,1.97
Iowa,51.99,46.18,1.83
New Hampshire,51.98,46.40,1.62
Pennsylvania,51.97,46.59,1.44
Colorado,51.49,46.13,2.38
Virginia,51.16,47.28,1.56
Ohio,50.67,47.69,1.64
Florida,50.01,49.13,0.86
North Carolina,48.35,50.39,1.26
Georgia,45.48,53.30,1.22
Arizona,44.59,53.65,1.76
Missouri,44.38,53.76,1.85
South Carolina,44.09,54.56,1.35
Indiana,43.93,54.13,1.95
Mississippi,43.79,55.29,0.92
Montana,41.70,55.35,2.95
Texas,41.38,57.17,1.45
Alaska,40.81,54.80,4.39
Louisiana,40.58,57.78,1.64
South Dakota,39.87,57.89,2.24
Tennessee,39.08,59.48,1.45
North Dakota,38.70,58.32,2.99
Alabama,38.36,60.55,1.10
Nebraska,38.03,59.80,2.17
Kansas,37.99,59.71,2.29
Kentucky,37.80,60.49,1.71
Arkansas,36.88,60.57,2.55
West Virginia,35.54,62.30,2.16
Oklahoma,33.23,66.77,0.00
Idaho,32.62,64.53,2.85
Wyoming,27.82,68.64,3.54
Utah,24.75,72.79,2.46
